ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,TASK701,TEXTRANK.TXT,0.37209,0.12403,0.18605,1

ROUGE-1+StopWordRemoval,TASK701,TEXTRANK.TXT,0.50000,0.12698,0.20253,1

ROUGE-2+StopWordRemoval,TASK701,TEXTRANK.TXT,0.25532,0.06383,0.10213,1

ROUGE-L+StopWordRemoval,TASK943,TEXTRANK.TXT,0.23810,0.05650,0.09132,1

ROUGE-1+StopWordRemoval,TASK943,TEXTRANK.TXT,0.41667,0.06329,0.10989,1

ROUGE-2+StopWordRemoval,TASK943,TEXTRANK.TXT,0.08511,0.01270,0.02210,1

ROUGE-L+StopWordRemoval,TASK940,TEXTRANK.TXT,0.13514,0.04386,0.06623,1

ROUGE-1+StopWordRemoval,TASK940,TEXTRANK.TXT,0.21429,0.05422,0.08654,1

ROUGE-2+StopWordRemoval,TASK940,TEXTRANK.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,TASK941,TEXTRANK.TXT,0.15789,0.05660,0.08333,1

ROUGE-1+StopWordRemoval,TASK941,TEXTRANK.TXT,0.18421,0.04828,0.07650,1

ROUGE-2+StopWordRemoval,TASK941,TEXTRANK.TXT,0.02703,0.00694,0.01105,1

ROUGE-L+StopWordRemoval,TASK719,TEXTRANK.TXT,0.35294,0.08333,0.13483,1

ROUGE-1+StopWordRemoval,TASK719,TEXTRANK.TXT,0.52778,0.09179,0.15638,1

ROUGE-2+StopWordRemoval,TASK719,TEXTRANK.TXT,0.25714,0.04369,0.07469,1

ROUGE-L+StopWordRemoval,TASK717,TEXTRANK.TXT,0.21739,0.04545,0.07519,1

ROUGE-1+StopWordRemoval,TASK717,TEXTRANK.TXT,0.32143,0.05960,0.10056,1

ROUGE-2+StopWordRemoval,TASK717,TEXTRANK.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,TASK959,TEXTRANK.TXT,0.19512,0.07018,0.10323,1

ROUGE-1+StopWordRemoval,TASK959,TEXTRANK.TXT,0.29545,0.09559,0.14444,1

ROUGE-2+StopWordRemoval,TASK959,TEXTRANK.TXT,0.11628,0.03704,0.05618,1

ROUGE-L+StopWordRemoval,TASK718,TEXTRANK.TXT,0.15000,0.04054,0.06383,1

ROUGE-1+StopWordRemoval,TASK718,TEXTRANK.TXT,0.35000,0.06863,0.11475,1

ROUGE-2+StopWordRemoval,TASK718,TEXTRANK.TXT,0.10526,0.01980,0.03333,1

ROUGE-L+StopWordRemoval,TASK715,TEXTRANK.TXT,0.21053,0.07339,0.10884,1

ROUGE-1+StopWordRemoval,TASK715,TEXTRANK.TXT,0.34694,0.11806,0.17617,1

ROUGE-2+StopWordRemoval,TASK715,TEXTRANK.TXT,0.16667,0.05594,0.08377,1

ROUGE-L+StopWordRemoval,TASK957,TEXTRANK.TXT,0.18605,0.07692,0.10884,1

ROUGE-1+StopWordRemoval,TASK957,TEXTRANK.TXT,0.29545,0.09155,0.13978,1

ROUGE-2+StopWordRemoval,TASK957,TEXTRANK.TXT,0.06977,0.02128,0.03261,1

ROUGE-L+StopWordRemoval,TASK716,TEXTRANK.TXT,0.18750,0.07692,0.10909,1

ROUGE-1+StopWordRemoval,TASK716,TEXTRANK.TXT,0.35294,0.10778,0.16514,1

ROUGE-2+StopWordRemoval,TASK716,TEXTRANK.TXT,0.08000,0.02410,0.03704,1

ROUGE-L+StopWordRemoval,TASK958,TEXTRANK.TXT,0.45833,0.09167,0.15278,1

ROUGE-1+StopWordRemoval,TASK958,TEXTRANK.TXT,0.66667,0.08556,0.15166,1

ROUGE-2+StopWordRemoval,TASK958,TEXTRANK.TXT,0.34783,0.04301,0.07656,1

ROUGE-L+StopWordRemoval,TASK713,TEXTRANK.TXT,0.26471,0.08333,0.12676,1

ROUGE-1+StopWordRemoval,TASK713,TEXTRANK.TXT,0.45714,0.12121,0.19162,1

ROUGE-2+StopWordRemoval,TASK713,TEXTRANK.TXT,0.17647,0.04580,0.07273,1

ROUGE-L+StopWordRemoval,TASK955,TEXTRANK.TXT,0.13043,0.02885,0.04724,1

ROUGE-1+StopWordRemoval,TASK955,TEXTRANK.TXT,0.17391,0.02899,0.04969,1

ROUGE-2+StopWordRemoval,TASK955,TEXTRANK.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,TASK714,TEXTRANK.TXT,0.27692,0.12414,0.17143,1

ROUGE-1+StopWordRemoval,TASK714,TEXTRANK.TXT,0.53750,0.17769,0.26708,1

ROUGE-2+StopWordRemoval,TASK714,TEXTRANK.TXT,0.24051,0.07884,0.11875,1

ROUGE-L+StopWordRemoval,TASK956,TEXTRANK.TXT,0.18750,0.06316,0.09449,1

ROUGE-1+StopWordRemoval,TASK956,TEXTRANK.TXT,0.28125,0.07200,0.11465,1

ROUGE-2+StopWordRemoval,TASK956,TEXTRANK.TXT,0.09677,0.02419,0.03871,1

ROUGE-L+StopWordRemoval,TASK711,TEXTRANK.TXT,0.19512,0.07080,0.10390,1

ROUGE-1+StopWordRemoval,TASK711,TEXTRANK.TXT,0.34884,0.10135,0.15707,1

ROUGE-2+StopWordRemoval,TASK711,TEXTRANK.TXT,0.04762,0.01361,0.02116,1

ROUGE-L+StopWordRemoval,TASK953,TEXTRANK.TXT,0.07500,0.03297,0.04580,1

ROUGE-1+StopWordRemoval,TASK953,TEXTRANK.TXT,0.21951,0.07031,0.10651,1

ROUGE-2+StopWordRemoval,TASK953,TEXTRANK.TXT,0.05128,0.01575,0.02410,1

ROUGE-L+StopWordRemoval,TASK712,TEXTRANK.TXT,0.26087,0.10526,0.15000,1

ROUGE-1+StopWordRemoval,TASK712,TEXTRANK.TXT,0.46939,0.14024,0.21596,1

ROUGE-2+StopWordRemoval,TASK712,TEXTRANK.TXT,0.16667,0.04908,0.07583,1

ROUGE-L+StopWordRemoval,TASK954,TEXTRANK.TXT,0.24242,0.08602,0.12698,1

ROUGE-1+StopWordRemoval,TASK954,TEXTRANK.TXT,0.37143,0.10078,0.15854,1

ROUGE-2+StopWordRemoval,TASK954,TEXTRANK.TXT,0.05882,0.01562,0.02469,1

ROUGE-L+StopWordRemoval,TASK951,TEXTRANK.TXT,0.25806,0.06780,0.10738,1

ROUGE-1+StopWordRemoval,TASK951,TEXTRANK.TXT,0.31429,0.06627,0.10945,1

ROUGE-2+StopWordRemoval,TASK951,TEXTRANK.TXT,0.08824,0.01818,0.03015,1

ROUGE-L+StopWordRemoval,TASK710,TEXTRANK.TXT,0.26087,0.08276,0.12565,1

ROUGE-1+StopWordRemoval,TASK710,TEXTRANK.TXT,0.44898,0.08980,0.14966,1

ROUGE-2+StopWordRemoval,TASK710,TEXTRANK.TXT,0.08333,0.01639,0.02740,1

ROUGE-L+StopWordRemoval,TASK952,TEXTRANK.TXT,0.28205,0.12222,0.17054,1

ROUGE-1+StopWordRemoval,TASK952,TEXTRANK.TXT,0.48780,0.14085,0.21858,1

ROUGE-2+StopWordRemoval,TASK952,TEXTRANK.TXT,0.17500,0.04965,0.07735,1

ROUGE-L+StopWordRemoval,TASK950,TEXTRANK.TXT,0.38710,0.12245,0.18605,1

ROUGE-1+StopWordRemoval,TASK950,TEXTRANK.TXT,0.38235,0.08333,0.13684,1

ROUGE-2+StopWordRemoval,TASK950,TEXTRANK.TXT,0.18182,0.03871,0.06383,1

ROUGE-L+StopWordRemoval,TASK928,TEXTRANK.TXT,0.12195,0.04630,0.06711,1

ROUGE-1+StopWordRemoval,TASK928,TEXTRANK.TXT,0.21429,0.06250,0.09677,1

ROUGE-2+StopWordRemoval,TASK928,TEXTRANK.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,TASK929,TEXTRANK.TXT,0.12698,0.06780,0.08840,1

ROUGE-1+StopWordRemoval,TASK929,TEXTRANK.TXT,0.28571,0.12121,0.17021,1

ROUGE-2+StopWordRemoval,TASK929,TEXTRANK.TXT,0.04348,0.01829,0.02575,1

ROUGE-L+StopWordRemoval,TASK926,TEXTRANK.TXT,0.20000,0.05926,0.09143,1

ROUGE-1+StopWordRemoval,TASK926,TEXTRANK.TXT,0.35556,0.07805,0.12800,1

ROUGE-2+StopWordRemoval,TASK926,TEXTRANK.TXT,0.04545,0.00980,0.01613,1

ROUGE-L+StopWordRemoval,TASK927,TEXTRANK.TXT,0.19512,0.10256,0.13445,1

ROUGE-1+StopWordRemoval,TASK927,TEXTRANK.TXT,0.33333,0.11667,0.17284,1

ROUGE-2+StopWordRemoval,TASK927,TEXTRANK.TXT,0.12500,0.04202,0.06289,1

ROUGE-L+StopWordRemoval,TASK924,TEXTRANK.TXT,0.28846,0.10490,0.15385,1

ROUGE-1+StopWordRemoval,TASK924,TEXTRANK.TXT,0.54545,0.19355,0.28571,1

ROUGE-2+StopWordRemoval,TASK924,TEXTRANK.TXT,0.09231,0.03243,0.04800,1

ROUGE-L+StopWordRemoval,TASK925,TEXTRANK.TXT,0.96875,0.37805,0.54386,1

ROUGE-1+StopWordRemoval,TASK925,TEXTRANK.TXT,0.97059,0.28696,0.44295,1

ROUGE-2+StopWordRemoval,TASK925,TEXTRANK.TXT,0.93939,0.27193,0.42177,1

ROUGE-L+StopWordRemoval,TASK922,TEXTRANK.TXT,0.12500,0.03546,0.05525,1

ROUGE-1+StopWordRemoval,TASK922,TEXTRANK.TXT,0.34884,0.08380,0.13514,1

ROUGE-2+StopWordRemoval,TASK922,TEXTRANK.TXT,0.02381,0.00562,0.00909,1

ROUGE-L+StopWordRemoval,TASK923,TEXTRANK.TXT,0.40541,0.10135,0.16216,1

ROUGE-1+StopWordRemoval,TASK923,TEXTRANK.TXT,0.54762,0.08679,0.14984,1

ROUGE-2+StopWordRemoval,TASK923,TEXTRANK.TXT,0.19512,0.03030,0.05246,1

ROUGE-L+StopWordRemoval,TASK920,TEXTRANK.TXT,0.20000,0.03546,0.06024,1

ROUGE-1+StopWordRemoval,TASK920,TEXTRANK.TXT,0.34615,0.04569,0.08072,1

ROUGE-2+StopWordRemoval,TASK920,TEXTRANK.TXT,0.08000,0.01020,0.01810,1

ROUGE-L+StopWordRemoval,TASK921,TEXTRANK.TXT,0.18367,0.07200,0.10345,1

ROUGE-1+StopWordRemoval,TASK921,TEXTRANK.TXT,0.29032,0.10227,0.15126,1

ROUGE-2+StopWordRemoval,TASK921,TEXTRANK.TXT,0.04918,0.01714,0.02542,1

ROUGE-L+StopWordRemoval,TASK939,TEXTRANK.TXT,0.21739,0.02890,0.05102,1

ROUGE-1+StopWordRemoval,TASK939,TEXTRANK.TXT,0.52000,0.05462,0.09886,1

ROUGE-2+StopWordRemoval,TASK939,TEXTRANK.TXT,0.04167,0.00422,0.00766,1

ROUGE-L+StopWordRemoval,TASK937,TEXTRANK.TXT,0.31707,0.07647,0.12322,1

ROUGE-1+StopWordRemoval,TASK937,TEXTRANK.TXT,0.52941,0.11111,0.18367,1

ROUGE-2+StopWordRemoval,TASK937,TEXTRANK.TXT,0.10000,0.02066,0.03425,1

ROUGE-L+StopWordRemoval,TASK938,TEXTRANK.TXT,0.12903,0.02899,0.04734,1

ROUGE-1+StopWordRemoval,TASK938,TEXTRANK.TXT,0.16129,0.02747,0.04695,1

ROUGE-2+StopWordRemoval,TASK938,TEXTRANK.TXT,0.00000,0.00000,0.00000,1

ROUGE-L+StopWordRemoval,TASK935,TEXTRANK.TXT,0.36364,0.05517,0.09581,1

ROUGE-1+StopWordRemoval,TASK935,TEXTRANK.TXT,0.54167,0.05856,0.10569,1

ROUGE-2+StopWordRemoval,TASK935,TEXTRANK.TXT,0.13043,0.01357,0.02459,1

ROUGE-L+StopWordRemoval,TASK936,TEXTRANK.TXT,0.19149,0.05806,0.08911,1

ROUGE-1+StopWordRemoval,TASK936,TEXTRANK.TXT,0.34545,0.08837,0.14074,1

ROUGE-2+StopWordRemoval,TASK936,TEXTRANK.TXT,0.07407,0.01869,0.02985,1

ROUGE-L+StopWordRemoval,TASK933,TEXTRANK.TXT,0.21739,0.03521,0.06061,1

ROUGE-1+StopWordRemoval,TASK933,TEXTRANK.TXT,0.41379,0.05405,0.09562,1

ROUGE-2+StopWordRemoval,TASK933,TEXTRANK.TXT,0.03571,0.00452,0.00803,1

ROUGE-L+StopWordRemoval,TASK934,TEXTRANK.TXT,0.28261,0.04710,0.08075,1

ROUGE-1+StopWordRemoval,TASK934,TEXTRANK.TXT,0.60000,0.07914,0.13983,1

ROUGE-2+StopWordRemoval,TASK934,TEXTRANK.TXT,0.22222,0.02885,0.05106,1

ROUGE-L+StopWordRemoval,TASK931,TEXTRANK.TXT,0.14706,0.04808,0.07246,1

ROUGE-1+StopWordRemoval,TASK931,TEXTRANK.TXT,0.21951,0.06040,0.09474,1

ROUGE-2+StopWordRemoval,TASK931,TEXTRANK.TXT,0.02500,0.00676,0.01064,1

ROUGE-L+StopWordRemoval,TASK932,TEXTRANK.TXT,0.38889,0.03804,0.06931,1

ROUGE-1+StopWordRemoval,TASK932,TEXTRANK.TXT,0.57895,0.03833,0.07190,1

ROUGE-2+StopWordRemoval,TASK932,TEXTRANK.TXT,0.16667,0.01049,0.01974,1

ROUGE-L+StopWordRemoval,TASK930,TEXTRANK.TXT,0.40741,0.05729,0.10046,1

ROUGE-1+StopWordRemoval,TASK930,TEXTRANK.TXT,0.60714,0.06800,0.12230,1

ROUGE-2+StopWordRemoval,TASK930,TEXTRANK.TXT,0.14815,0.01606,0.02899,1

ROUGE-L+StopWordRemoval,TASK508,TEXTRANK.TXT,0.27027,0.08130,0.12500,1

ROUGE-1+StopWordRemoval,TASK508,TEXTRANK.TXT,0.43478,0.11696,0.18433,1

ROUGE-2+StopWordRemoval,TASK508,TEXTRANK.TXT,0.15556,0.04118,0.06512,1

ROUGE-L+StopWordRemoval,TASK509,TEXTRANK.TXT,0.21429,0.08257,0.11921,1

ROUGE-1+StopWordRemoval,TASK509,TEXTRANK.TXT,0.41667,0.12821,0.19608,1

ROUGE-2+StopWordRemoval,TASK509,TEXTRANK.TXT,0.17021,0.05161,0.07921,1

ROUGE-L+StopWordRemoval,TASK506,TEXTRANK.TXT,0.40476,0.15179,0.22078,1

ROUGE-1+StopWordRemoval,TASK506,TEXTRANK.TXT,0.56818,0.15528,0.24390,1

ROUGE-2+StopWordRemoval,TASK506,TEXTRANK.TXT,0.20930,0.05625,0.08867,1

ROUGE-L+StopWordRemoval,TASK748,TEXTRANK.TXT,0.33333,0.08125,0.13065,1

ROUGE-1+StopWordRemoval,TASK748,TEXTRANK.TXT,0.60000,0.11594,0.19433,1

ROUGE-2+StopWordRemoval,TASK748,TEXTRANK.TXT,0.28205,0.05340,0.08980,1

ROUGE-L+StopWordRemoval,TASK507,TEXTRANK.TXT,0.30000,0.10909,0.16000,1

ROUGE-1+StopWordRemoval,TASK507,TEXTRANK.TXT,0.45238,0.12583,0.19689,1

ROUGE-2+StopWordRemoval,TASK507,TEXTRANK.TXT,0.17073,0.04667,0.07330,1

ROUGE-L+StopWordRemoval,TASK749,TEXTRANK.TXT,0.25000,0.09565,0.13836,1

ROUGE-1+StopWordRemoval,TASK749,TEXTRANK.TXT,0.53191,0.16129,0.24752,1

ROUGE-2+StopWordRemoval,TASK749,TEXTRANK.TXT,0.08696,0.02597,0.04000,1

ROUGE-L+StopWordRemoval,TASK504,TEXTRANK.TXT,0.45714,0.12308,0.19394,1

ROUGE-1+StopWordRemoval,TASK504,TEXTRANK.TXT,0.69231,0.14835,0.24434,1

ROUGE-2+StopWordRemoval,TASK504,TEXTRANK.TXT,0.37838,0.07735,0.12844,1

ROUGE-L+StopWordRemoval,TASK746,TEXTRANK.TXT,0.30769,0.08392,0.13187,1

ROUGE-1+StopWordRemoval,TASK746,TEXTRANK.TXT,0.52273,0.10952,0.18110,1

ROUGE-2+StopWordRemoval,TASK746,TEXTRANK.TXT,0.23256,0.04785,0.07937,1

ROUGE-L+StopWordRemoval,TASK988,TEXTRANK.TXT,0.52632,0.10526,0.17544,1

ROUGE-1+StopWordRemoval,TASK988,TEXTRANK.TXT,0.57895,0.08871,0.15385,1

