ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2+StopWordRemoval,421,KM.TXT,0.16667,0.04505,0.07092,1
,,,,,,
ROUGE-L+StopWordRemoval,301,KM.TXT,0.125,0.05263,0.07407,1
,,,,,,
ROUGE-1+StopWordRemoval,301,KM.TXT,0.24242,0.09412,0.13559,1
,,,,,,
ROUGE-2+StopWordRemoval,301,KM.TXT,0.03226,0.0119,0.01739,1
,,,,,,
ROUGE-L+StopWordRemoval,422,KM.TXT,0.32143,0.13043,0.18557,1
,,,,,,
ROUGE-1+StopWordRemoval,422,KM.TXT,0.35484,0.13095,0.1913,1
,,,,,,
ROUGE-2+StopWordRemoval,422,KM.TXT,0.03448,0.01205,0.01786,1
,,,,,,
ROUGE-L+StopWordRemoval,302,KM.TXT,0.24242,0.08247,0.12308,1
,,,,,,
ROUGE-1+StopWordRemoval,302,KM.TXT,0.42857,0.10714,0.17143,1
,,,,,,
ROUGE-2+StopWordRemoval,302,KM.TXT,0.15152,0.03597,0.05814,1
,,,,,,
ROUGE-L+StopWordRemoval,423,KM.TXT,0.47826,0.13924,0.21569,1
,,,,,,
ROUGE-1+StopWordRemoval,423,KM.TXT,0.45833,0.11458,0.18333,1
,,,,,,
ROUGE-2+StopWordRemoval,423,KM.TXT,0.22727,0.05263,0.08547,1
,,,,,,
ROUGE-L+StopWordRemoval,303,KM.TXT,0.18519,0.03876,0.0641,1
,,,,,,
ROUGE-1+StopWordRemoval,303,KM.TXT,0.46667,0.08642,0.14583,1
,,,,,,
ROUGE-2+StopWordRemoval,303,KM.TXT,0.14286,0.02484,0.04233,1
,,,,,,
ROUGE-L+StopWordRemoval,424,KM.TXT,0.19512,0.08696,0.1203,1
,,,,,,
ROUGE-1+StopWordRemoval,424,KM.TXT,0.35714,0.13158,0.19231,1
,,,,,,
ROUGE-2+StopWordRemoval,424,KM.TXT,0.075,0.02655,0.03922,1
,,,,,,
ROUGE-L+StopWordRemoval,304,KM.TXT,0.2381,0.08547,0.12579,1
,,,,,,
ROUGE-1+StopWordRemoval,304,KM.TXT,0.46667,0.13816,0.2132,1
,,,,,,
ROUGE-2+StopWordRemoval,304,KM.TXT,0.04651,0.01325,0.02062,1
,,,,,,
ROUGE-L+StopWordRemoval,425,KM.TXT,0.41935,0.07784,0.13131,1
,,,,,,
ROUGE-1+StopWordRemoval,425,KM.TXT,0.6129,0.08017,0.14179,1
,,,,,,
ROUGE-2+StopWordRemoval,425,KM.TXT,0.24138,0.02966,0.05283,1
,,,,,,
ROUGE-L+StopWordRemoval,305,KM.TXT,0.26471,0.09677,0.14173,1
,,,,,,
ROUGE-1+StopWordRemoval,305,KM.TXT,0.44118,0.12097,0.18987,1
,,,,,,
ROUGE-2+StopWordRemoval,305,KM.TXT,0.125,0.03252,0.05161,1
,,,,,,
ROUGE-L+StopWordRemoval,426,KM.TXT,0.08571,0.05085,0.06383,1
,,,,,,
ROUGE-1+StopWordRemoval,426,KM.TXT,0.18919,0.09459,0.12613,1
,,,,,,
ROUGE-2+StopWordRemoval,426,KM.TXT,0.02857,0.0137,0.01852,1
,,,,,,
ROUGE-L+StopWordRemoval,306,KM.TXT,0.2,0.07339,0.10738,1
,,,,,,
ROUGE-1+StopWordRemoval,306,KM.TXT,0.55,0.16794,0.25731,1
,,,,,,
ROUGE-2+StopWordRemoval,306,KM.TXT,0.26316,0.07692,0.11905,1
,,,,,,
ROUGE-L+StopWordRemoval,427,KM.TXT,0.18519,0.05208,0.0813,1
,,,,,,
ROUGE-1+StopWordRemoval,427,KM.TXT,0.41379,0.09756,0.15789,1
,,,,,,
ROUGE-2+StopWordRemoval,427,KM.TXT,0.11111,0.02459,0.04027,1
,,,,,,
ROUGE-L+StopWordRemoval,307,KM.TXT,0.25,0.11268,0.15534,1
,,,,,,
ROUGE-1+StopWordRemoval,307,KM.TXT,0.36842,0.15217,0.21538,1
,,,,,,
ROUGE-2+StopWordRemoval,307,KM.TXT,0.13889,0.05495,0.07874,1
,,,,,,
ROUGE-L+StopWordRemoval,428,KM.TXT,0.2439,0.08547,0.12658,1
,,,,,,
ROUGE-1+StopWordRemoval,428,KM.TXT,0.57447,0.19286,0.28877,1
,,,,,,
ROUGE-2+StopWordRemoval,428,KM.TXT,0.15556,0.05036,0.07609,1
,,,,,,
ROUGE-L+StopWordRemoval,308,KM.TXT,0.17143,0.08333,0.11215,1
,,,,,,
ROUGE-1+StopWordRemoval,308,KM.TXT,0.38889,0.16867,0.23529,1
,,,,,,
ROUGE-2+StopWordRemoval,308,KM.TXT,0.02941,0.0122,0.01724,1
,,,,,,
ROUGE-L+StopWordRemoval,429,KM.TXT,0.24242,0.08247,0.12308,1
,,,,,,
ROUGE-1+StopWordRemoval,429,KM.TXT,0.42857,0.10714,0.17143,1
,,,,,,
ROUGE-2+StopWordRemoval,429,KM.TXT,0.15152,0.03597,0.05814,1
,,,,,,
ROUGE-L+StopWordRemoval,309,KM.TXT,0.21875,0.10448,0.14141,1
,,,,,,
ROUGE-1+StopWordRemoval,309,KM.TXT,0.22857,0.10256,0.14159,1
,,,,,,
ROUGE-2+StopWordRemoval,309,KM.TXT,0.09091,0.03896,0.05455,1
,,,,,,
ROUGE-L+StopWordRemoval,430,KM.TXT,0.2381,0.08547,0.12579,1
,,,,,,
ROUGE-1+StopWordRemoval,430,KM.TXT,0.46667,0.13816,0.2132,1
,,,,,,
ROUGE-2+StopWordRemoval,430,KM.TXT,0.04651,0.01325,0.02062,1
,,,,,,
ROUGE-L+StopWordRemoval,310,KM.TXT,0.32258,0.09709,0.14925,1
,,,,,,
ROUGE-1+StopWordRemoval,310,KM.TXT,0.54839,0.13492,0.21656,1
,,,,,,
ROUGE-2+StopWordRemoval,310,KM.TXT,0.27586,0.064,0.1039,1
,,,,,,
ROUGE-L+StopWordRemoval,431,KM.TXT,0.26471,0.09677,0.14173,1
,,,,,,
ROUGE-1+StopWordRemoval,431,KM.TXT,0.44118,0.12097,0.18987,1
,,,,,,
ROUGE-2+StopWordRemoval,431,KM.TXT,0.125,0.03252,0.05161,1
,,,,,,
ROUGE-L+StopWordRemoval,311,KM.TXT,0.31429,0.13924,0.19298,1
,,,,,,
ROUGE-1+StopWordRemoval,311,KM.TXT,0.44681,0.19444,0.27097,1
,,,,,,
ROUGE-2+StopWordRemoval,311,KM.TXT,0.17778,0.07477,0.10526,1
,,,,,,
ROUGE-L+StopWordRemoval,432,KM.TXT,0.16279,0.07865,0.10606,1
,,,,,,
ROUGE-1+StopWordRemoval,432,KM.TXT,0.28889,0.11111,0.16049,1
,,,,,,
ROUGE-2+StopWordRemoval,432,KM.TXT,0.09302,0.03448,0.05031,1
,,,,,,
ROUGE-L+StopWordRemoval,312,KM.TXT,0.28125,0.10976,0.15789,1
,,,,,,
ROUGE-1+StopWordRemoval,312,KM.TXT,0.32432,0.11429,0.16901,1
,,,,,,
ROUGE-2+StopWordRemoval,312,KM.TXT,0.17143,0.05769,0.08633,1
,,,,,,
ROUGE-L+StopWordRemoval,433,KM.TXT,0.37931,0.12941,0.19298,1
,,,,,,
ROUGE-1+StopWordRemoval,433,KM.TXT,0.5,0.14679,0.22695,1
,,,,,,
ROUGE-2+StopWordRemoval,433,KM.TXT,0.16667,0.0463,0.07246,1
,,,,,,
ROUGE-L+StopWordRemoval,313,KM.TXT,0.28947,0.12644,0.176,1
,,,,,,
ROUGE-1+StopWordRemoval,313,KM.TXT,0.34615,0.14516,0.20455,1
,,,,,,
ROUGE-2+StopWordRemoval,313,KM.TXT,0.18,0.07317,0.10405,1
,,,,,,
ROUGE-L+StopWordRemoval,434,KM.TXT,0.28205,0.11579,0.16418,1
,,,,,,
ROUGE-1+StopWordRemoval,434,KM.TXT,0.45,0.14634,0.22086,1
,,,,,,
ROUGE-2+StopWordRemoval,434,KM.TXT,0.15789,0.04918,0.075,1
,,,,,,
ROUGE-L+StopWordRemoval,314,KM.TXT,0.25641,0.08547,0.12821,1
,,,,,,
ROUGE-1+StopWordRemoval,314,KM.TXT,0.57778,0.16049,0.25121,1
,,,,,,
ROUGE-2+StopWordRemoval,314,KM.TXT,0.13953,0.03727,0.05882,1
,,,,,,
ROUGE-L+StopWordRemoval,435,KM.TXT,0.175,0.08537,0.11475,1
,,,,,,
ROUGE-1+StopWordRemoval,435,KM.TXT,0.25,0.09804,0.14085,1
,,,,,,
ROUGE-2+StopWordRemoval,435,KM.TXT,0.10526,0.0396,0.05755,1
,,,,,,
ROUGE-L+StopWordRemoval,315,KM.TXT,0.23077,0.0625,0.09836,1
,,,,,,
ROUGE-1+StopWordRemoval,315,KM.TXT,0.33333,0.07556,0.12319,1
,,,,,,
ROUGE-2+StopWordRemoval,315,KM.TXT,0.12245,0.02679,0.04396,1
,,,,,,
ROUGE-L+StopWordRemoval,436,KM.TXT,0.23684,0.09677,0.1374,1
,,,,,,
ROUGE-1+StopWordRemoval,436,KM.TXT,0.35,0.12727,0.18667,1
,,,,,,
ROUGE-2+StopWordRemoval,436,KM.TXT,0.13158,0.04587,0.06803,1
,,,,,,
ROUGE-L+StopWordRemoval,316,KM.TXT,0.35714,0.12195,0.18182,1
,,,,,,
